#{"t_start": 1555726408.321176, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
21.1958,250,8.9225,0.0
30.4992,250,17.0353,2.0
23.4119,250,25.2122,1.0
26.0913,250,33.3291,1.0
19.2891,250,41.4894,0.0
22.8978,250,49.6463,0.0
26.7203,250,57.8346,1.0
24.6297,250,65.99,0.0
20.7207,250,74.1805,0.0
21.8935,250,82.3522,1.0
23.8342,250,90.6696,0.0
23.6082,250,98.8608,1.0
26.5238,250,107.0276,0.0
18.6893,250,115.173,0.0
19.7114,250,123.2931,0.0
16.9819,250,131.4513,0.0
22.6377,250,139.6405,0.0
27.855,250,147.855,1.0
15.448,250,156.0978,0.0
27.3855,250,164.3218,1.0
21.9522,250,172.5682,0.0
25.2392,250,178.5916,0.0
25.2136,250,186.8068,0.0
25.1067,250,194.9843,1.0
25.4852,250,203.183,1.0
19.2957,250,211.368,0.0
22.284,250,219.5411,1.0
19.9459,250,227.768,0.0
25.1674,250,235.9418,0.0
19.1913,250,244.1716,0.0
16.7284,250,252.4039,0.0
19.6654,250,260.8748,0.0
28.2077,250,269.3982,0.0
25.5946,250,277.7359,0.0
30.1205,250,285.9573,1.0
24.1998,250,294.167,0.0
26.5129,250,302.9886,0.0
21.3852,250,311.3866,0.0
22.2049,250,319.6183,0.0
24.019,250,327.8309,0.0
21.1437,250,336.2216,0.0
15.7667,250,344.6884,0.0
25.0259,250,350.9117,0.0
23.7355,250,359.391,0.0
25.0233,250,367.916,0.0
21.5806,250,376.4225,0.0
31.8662,250,384.9448,3.0
19.0899,250,393.4505,0.0
22.8272,250,401.9344,0.0
29.7051,250,410.3891,1.0
26.2546,250,418.8654,1.0
30.3102,250,427.3476,0.0
28.6126,250,435.8466,1.0
22.4721,250,444.3494,0.0
27.3931,250,452.8314,1.0
22.2321,250,461.3671,0.0
29.0849,250,469.8745,0.0
23.9877,250,478.4184,0.0
25.7472,250,486.9462,0.0
22.1302,250,495.4495,0.0
30.7827,250,503.9343,1.0
30.6436,250,512.5863,1.0
25.2985,250,521.2506,0.0
29.3714,250,527.2875,0.0
25.6508,250,535.5781,0.0
25.5194,250,543.8415,1.0
22.9689,250,552.7134,0.0
26.584,250,562.3606,0.0
28.5516,250,572.1462,1.0
26.3304,250,581.6657,0.0
31.8013,250,591.235,2.0
22.1266,250,600.7998,0.0
25.8181,250,610.3707,0.0
29.2243,250,620.0272,1.0
28.6212,250,629.7464,1.0
30.9512,250,639.3607,1.0
24.418,250,648.9159,0.0
31.7933,250,659.5569,1.0
27.9238,250,670.8459,1.0
26.0711,250,681.7612,0.0
26.6571,250,692.8259,0.0
27.9424,250,704.4187,0.0
28.9944,250,716.4274,0.0
26.69,250,728.5531,0.0
27.751,250,739.3081,0.0
28.2532,250,747.6912,0.0
26.7099,250,758.3115,1.0
24.8962,250,768.9428,1.0
25.5391,250,779.741,0.0
25.844,250,790.7063,0.0
26.144,250,801.5861,0.0
30.9599,250,812.436,1.0
25.4568,250,823.2331,0.0
25.5266,250,834.2133,0.0
21.6228,250,845.0757,0.0
29.0145,250,855.8895,0.0
28.7493,250,866.7588,0.0
31.5165,250,877.9384,2.0
24.3485,250,888.8212,0.0
27.0099,250,899.7474,0.0
31.0992,250,910.8127,1.0
28.5043,250,921.9064,2.0
26.8246,250,932.8958,0.0
25.203,250,944.0164,0.0
29.9471,250,954.6911,0.0
24.1335,250,965.7373,0.0
27.6746,250,974.1999,1.0
32.0209,250,985.0211,2.0
30.3684,250,995.9838,1.0
26.8065,250,1006.8869,0.0
25.1388,250,1017.9897,0.0
32.5901,250,1030.2814,1.0
26.834,250,1041.4067,0.0
26.3281,250,1052.3672,0.0
30.8267,250,1063.2456,1.0
29.8028,250,1074.4541,1.0
27.4966,250,1085.4647,0.0
26.6813,250,1096.5154,1.0
27.7269,250,1107.6551,0.0
29.0249,250,1118.7439,0.0
28.0838,250,1129.5865,1.0
28.333,250,1140.8441,0.0
29.091,250,1151.9434,1.0
29.1538,250,1162.8624,0.0
30.3054,250,1174.1516,0.0
27.3137,250,1185.3784,1.0
27.9126,250,1196.6803,0.0
33.9215,250,1205.39,2.0
30.2278,250,1216.3102,0.0
31.503,250,1227.4109,2.0
33.444,250,1238.3185,3.0
29.7934,250,1249.2309,0.0
23.8751,250,1260.4302,0.0
31.4701,250,1271.465,0.0
28.9908,250,1282.4105,0.0
28.2328,250,1293.5255,0.0
27.737,250,1304.3873,0.0
29.4725,250,1315.4129,1.0
30.609,250,1326.4683,1.0
24.3881,250,1338.0508,0.0
32.4253,250,1349.8198,2.0
32.0692,250,1360.8124,1.0
30.6986,250,1371.9814,1.0
27.6797,250,1383.1936,0.0
30.6181,250,1394.1794,0.0
30.4003,250,1405.2336,1.0
30.9994,250,1416.5426,1.0
24.5803,250,1427.6251,1.0
32.1459,250,1438.8058,2.0
29.769,250,1447.2716,0.0
29.9114,250,1458.371,1.0
28.889,250,1469.6085,0.0
29.9267,250,1480.837,0.0
29.3094,250,1491.8274,1.0
32.2092,250,1503.122,1.0
25.5566,250,1514.1714,0.0
31.2555,250,1525.1861,1.0
31.4118,250,1536.5963,2.0
27.1388,250,1547.6323,0.0
24.7559,250,1558.9291,0.0
27.3627,250,1570.2899,0.0
28.9641,250,1581.5498,1.0
28.7049,250,1592.7908,0.0
29.8138,250,1604.0155,1.0
30.809,250,1616.3718,0.0
29.2399,250,1627.2572,1.0
29.1277,250,1638.3003,0.0
34.5579,250,1649.5572,3.0
26.4399,250,1661.9367,0.0
31.2067,250,1672.8193,0.0
27.9734,250,1681.606,0.0
31.0895,250,1692.7455,2.0
29.0025,250,1703.8659,0.0
27.7078,250,1714.9373,0.0
33.0047,250,1726.0564,2.0
28.1984,250,1737.3826,0.0
33.5508,250,1748.5083,1.0
29.8523,250,1759.8142,0.0
29.1422,250,1771.2877,0.0
27.8737,250,1782.4948,0.0
29.0822,250,1793.6971,0.0
29.6129,250,1805.0068,0.0
30.3423,250,1816.3961,1.0
26.4308,250,1827.6599,0.0
27.999,250,1838.9991,0.0
31.0593,250,1850.2739,0.0
30.59,250,1861.7363,1.0
28.9291,250,1873.0475,1.0
29.9114,250,1884.0886,0.0
30.3882,250,1895.521,1.0
31.6129,250,1906.7793,0.0
27.5054,250,1915.4985,0.0
32.8535,250,1926.7609,2.0
32.3013,250,1937.9702,0.0
27.5963,250,1949.2153,0.0
29.1955,250,1960.4545,0.0
31.6403,250,1972.25,0.0
27.6252,250,1984.2896,0.0
32.0624,250,1995.7509,1.0
30.9442,250,2007.194,0.0
40.3282,250,2018.3385,4.0
30.8464,250,2029.5614,0.0
29.2675,250,2040.7427,0.0
28.3819,250,2051.9474,0.0
28.5411,250,2063.335,1.0
29.7257,250,2075.0312,0.0
29.4009,250,2086.3338,0.0
28.8247,250,2097.8027,1.0
32.3358,250,2109.2677,1.0
25.3343,250,2120.5295,0.0
26.7729,250,2131.9602,0.0
29.2365,250,2143.3591,1.0
27.2628,250,2154.6693,0.0
31.3809,250,2163.4339,1.0
27.3349,250,2174.7024,0.0
24.9393,250,2185.8874,0.0
