#{"t_start": 1555726407.9560165, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
23.1407,250,9.2878,0.0
26.1091,250,17.4004,0.0
21.8942,250,25.5772,0.0
19.8883,250,33.6941,0.0
20.7102,250,41.8545,0.0
20.0937,250,50.0113,0.0
19.778,250,58.1996,0.0
25.0351,250,66.3554,1.0
19.8167,250,74.5458,0.0
15.5803,250,82.7171,0.0
20.9762,250,91.0296,0.0
19.6397,250,99.2258,1.0
22.5572,250,107.3897,0.0
22.1136,250,115.5401,0.0
23.0287,250,123.6576,0.0
28.1623,250,131.8163,1.0
23.6731,250,140.0059,0.0
24.5198,250,148.2199,0.0
26.7195,250,156.4627,1.0
18.664,250,164.6865,0.0
18.6485,250,172.9324,0.0
26.6494,250,178.9566,0.0
24.3981,250,187.1718,0.0
17.9666,250,195.3492,0.0
22.4069,250,203.5507,0.0
20.927,250,211.7296,0.0
13.9851,250,219.9065,0.0
19.4156,250,228.1335,0.0
18.619,250,236.3068,1.0
20.8612,250,244.5366,0.0
20.9521,250,252.769,0.0
27.2662,250,261.2404,0.0
21.6986,250,269.7667,1.0
24.6288,250,278.0983,0.0
18.8597,250,286.3224,0.0
24.8066,250,294.5329,0.0
14.9597,250,303.3529,0.0
27.4369,250,311.7515,0.0
19.3644,250,319.9836,0.0
25.1917,250,328.1958,0.0
20.1667,250,336.5867,0.0
24.3052,250,345.0539,0.0
27.2384,250,351.277,1.0
20.8592,250,359.7562,0.0
30.2152,250,368.281,1.0
15.5917,250,376.7875,0.0
22.4996,250,385.3103,0.0
27.0518,250,393.8155,1.0
21.5881,250,402.3,0.0
28.2742,250,410.7541,0.0
26.7739,250,419.2269,0.0
25.9979,250,427.7125,0.0
30.9296,250,436.2116,1.0
26.5581,250,444.7139,0.0
27.9739,250,453.1964,0.0
27.4385,250,461.7314,0.0
18.6869,250,470.2403,0.0
31.8701,250,478.7841,1.0
23.1263,250,487.3112,0.0
22.3123,250,495.8148,0.0
30.186,250,504.2996,0.0
26.4855,250,512.9515,0.0
25.4431,250,521.6149,0.0
25.5696,250,527.6525,0.0
24.6703,250,535.9435,0.0
29.7037,250,544.2026,1.0
27.6791,250,553.0747,0.0
27.6206,250,562.7258,0.0
29.9742,250,572.5121,2.0
28.0881,250,582.0297,1.0
29.0647,250,591.5994,0.0
22.8723,250,601.1636,0.0
27.0128,250,610.736,0.0
23.9406,250,620.3912,0.0
24.1639,250,630.1124,0.0
24.0142,250,639.7253,0.0
26.6271,250,649.2805,0.0
33.7866,250,659.921,1.0
29.3738,250,671.2111,0.0
28.3942,250,682.1268,0.0
28.2449,250,693.1913,0.0
23.7749,250,704.7833,0.0
27.8824,250,716.7887,1.0
29.3334,250,728.9176,1.0
29.3985,250,739.6733,1.0
27.0927,250,748.0576,0.0
26.8168,250,758.6765,1.0
23.6866,250,769.3082,0.0
24.1022,250,780.0906,0.0
28.2711,250,791.0777,1.0
25.6062,250,801.946,0.0
32.699,250,812.7998,2.0
29.8717,250,823.5984,1.0
29.8717,250,834.5836,0.0
28.3306,250,845.4408,0.0
29.8135,250,856.2545,1.0
25.7239,250,867.1188,2.0
28.9129,250,878.3035,0.0
28.8861,250,889.1858,0.0
28.3366,250,900.1127,0.0
24.447,250,911.177,0.0
30.6971,250,922.2737,1.0
27.2631,250,933.2583,1.0
26.9333,250,944.3811,0.0
28.2369,250,955.0561,0.0
30.0646,250,966.1031,1.0
29.3391,250,974.565,0.0
34.1585,250,985.3857,2.0
29.2439,250,996.3491,2.0
28.8904,250,1007.2515,1.0
27.7874,250,1018.3542,0.0
30.0647,250,1030.6466,0.0
25.6496,250,1041.7736,0.0
31.1351,250,1052.7302,1.0
28.8042,250,1063.6102,0.0
25.7521,250,1074.8146,0.0
33.2316,250,1085.8289,1.0
