#{"t_start": 1555726408.2034862, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
15.2672,250,9.0404,0.0
26.0083,250,17.153,0.0
24.4822,250,25.3294,0.0
22.1781,250,33.4467,1.0
20.5549,250,41.607,0.0
18.5805,250,49.7639,0.0
25.1202,250,57.9518,0.0
25.3571,250,66.1077,1.0
26.7062,250,74.2984,0.0
18.6068,250,82.4702,0.0
24.0564,250,90.7865,0.0
18.8977,250,98.9784,0.0
20.2498,250,107.1432,0.0
19.8464,250,115.2892,0.0
19.6185,250,123.4108,0.0
22.2527,250,131.5692,0.0
13.9241,250,139.7581,0.0
19.0137,250,147.9728,0.0
19.6754,250,156.2154,0.0
20.6144,250,164.4395,1.0
24.2424,250,172.6862,0.0
14.0485,250,178.7088,0.0
24.1086,250,186.9244,1.0
19.9724,250,195.1022,0.0
18.4705,250,203.3027,0.0
26.1197,250,211.4843,2.0
22.5426,250,219.6591,0.0
23.785,250,227.8857,0.0
24.6325,250,236.0625,0.0
23.2642,250,244.2905,0.0
18.3395,250,252.5213,0.0
24.6097,250,260.9925,0.0
25.6032,250,269.5158,1.0
21.8589,250,277.8508,0.0
30.3269,250,286.0744,1.0
28.0313,250,294.2886,1.0
24.289,250,303.1064,0.0
24.3844,250,311.5042,1.0
16.2279,250,319.736,0.0
23.7821,250,327.9491,0.0
25.211,250,336.3389,1.0
20.4725,250,344.8066,0.0
29.1192,250,351.0295,1.0
23.7826,250,359.5085,0.0
24.997,250,368.0327,1.0
22.6904,250,376.5401,0.0
28.525,250,385.0632,2.0
26.4236,250,393.5682,2.0
30.8266,250,402.0522,1.0
21.2906,250,410.5068,0.0
25.3709,250,418.9827,1.0
23.7674,250,427.4651,0.0
29.8415,250,435.9633,1.0
25.9126,250,444.467,0.0
25.5104,250,452.9491,0.0
26.2797,250,461.4841,1.0
22.2287,250,469.9926,0.0
23.8075,250,478.5364,0.0
24.5574,250,487.0638,0.0
25.6154,250,495.5671,0.0
30.6603,250,504.0519,1.0
28.9404,250,512.7039,1.0
23.2671,250,521.3682,0.0
28.5224,250,527.4051,1.0
29.2858,250,535.6957,0.0
20.8704,250,543.9587,0.0
27.189,250,552.8226,1.0
32.349,250,562.4796,2.0
33.2853,250,572.2634,2.0
31.3221,250,581.7822,2.0
30.7258,250,591.3524,1.0
26.0589,250,600.9159,0.0
25.4761,250,610.4878,0.0
25.1887,250,620.1446,1.0
