#{"t_start": 1555726407.669271, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
20.8424,250,9.574,0.0
24.0072,250,17.6865,0.0
25.6023,250,25.8642,0.0
22.0356,250,33.9807,0.0
24.4852,250,42.1406,0.0
21.7925,250,50.2979,0.0
21.7324,250,58.4869,1.0
13.5135,250,66.6417,0.0
18.2472,250,74.832,0.0
19.1405,250,83.0037,0.0
24.4095,250,91.3184,1.0
15.4689,250,99.5125,0.0
28.3321,250,107.677,2.0
18.4066,250,115.8241,0.0
27.4016,250,123.9442,2.0
22.6895,250,132.1029,1.0
24.0713,250,140.2925,1.0
22.9668,250,148.5069,1.0
21.0255,250,156.7494,0.0
26.3258,250,164.9736,0.0
21.8692,250,173.2202,0.0
21.7892,250,179.2427,0.0
23.2524,250,187.4584,0.0
25.2484,250,195.6358,0.0
20.8503,250,203.8368,0.0
25.5659,250,212.0186,1.0
23.2828,250,220.1927,0.0
23.0879,250,228.4202,0.0
22.4643,250,236.5935,0.0
22.0655,250,244.8233,0.0
19.2456,250,253.0553,0.0
25.6089,250,261.527,1.0
26.8213,250,270.0509,1.0
25.2023,250,278.384,1.0
21.34,250,286.609,1.0
22.6772,250,294.8196,0.0
19.5193,250,303.6374,0.0
30.4316,250,312.0382,2.0
23.8705,250,320.2699,0.0
24.44,250,328.4829,0.0
25.9747,250,336.873,0.0
26.9945,250,345.3408,0.0
23.3814,250,351.5632,0.0
30.6155,250,360.0424,1.0
22.3329,250,368.5667,0.0
23.2568,250,377.0741,0.0
23.2747,250,385.5974,0.0
23.8266,250,394.1026,0.0
27.5021,250,402.5861,0.0
26.1149,250,411.0407,0.0
25.7336,250,419.5139,0.0
27.5928,250,427.9986,0.0
28.3014,250,436.4972,1.0
22.8151,250,445.001,0.0
27.9121,250,453.4834,0.0
28.0489,250,462.018,1.0
23.1104,250,470.5269,0.0
25.7576,250,479.0699,0.0
26.1866,250,487.5983,0.0
28.2486,250,496.1015,0.0
27.631,250,504.5863,1.0
29.4598,250,513.2374,1.0
27.5556,250,521.9025,0.0
29.4892,250,527.9391,0.0
25.7881,250,536.23,0.0
30.8187,250,544.4909,1.0
25.4769,250,553.3605,1.0
27.4487,250,563.0118,1.0
25.7351,250,572.7992,0.0
26.2751,250,582.3158,0.0
26.7457,250,591.8924,0.0
26.4088,250,601.4505,0.0
28.7086,250,611.0227,0.0
24.8417,250,620.6779,0.0
27.5506,250,630.3994,0.0
28.0906,250,640.0128,0.0
28.9332,250,649.5676,0.0
26.3281,250,660.2098,0.0
23.978,250,671.4981,0.0
26.0304,250,682.4133,0.0
30.2162,250,693.4775,2.0
30.6148,250,705.0761,1.0
31.79,250,717.0753,1.0
27.6771,250,729.2045,0.0
22.6909,250,739.9592,0.0
24.9236,250,748.3436,0.0
25.265,250,758.9642,0.0
29.4316,250,769.5944,1.0
34.2621,250,780.3768,2.0
26.6462,250,791.353,0.0
30.2578,250,802.2393,1.0
24.7324,250,813.0869,0.0
28.143,250,823.8842,0.0
27.6673,250,834.8664,1.0
26.2766,250,845.7267,0.0
26.8077,250,856.5407,0.0
32.2189,250,867.4037,1.0
28.8749,250,878.5897,0.0
27.3386,250,889.4724,0.0
29.9271,250,900.3991,1.0
26.5871,250,911.4634,0.0
23.2759,250,922.5585,0.0
31.5215,250,933.547,1.0
29.0301,250,944.6675,0.0
34.6271,250,955.3427,2.0
29.5303,250,966.389,0.0
32.3481,250,974.8519,2.0
24.6889,250,985.6724,0.0
27.8401,250,996.6354,1.0
29.6294,250,1007.5386,1.0
31.1186,250,1018.6409,2.0
31.0116,250,1030.9255,0.0
29.8645,250,1042.0578,1.0
26.7811,250,1053.018,0.0
27.5753,250,1063.896,0.0
30.3451,250,1075.1023,1.0
29.5807,250,1086.1149,0.0
28.4877,250,1097.163,0.0
25.5943,250,1108.3055,0.0
26.9808,250,1119.3878,0.0
27.5573,250,1130.2381,0.0
29.9732,250,1141.4962,2.0
26.5965,250,1152.5957,0.0
28.921,250,1163.514,0.0
28.368,250,1174.7997,0.0
27.2092,250,1186.0312,1.0
27.3244,250,1197.3317,1.0
28.5387,250,1206.0412,0.0
28.5742,250,1216.9602,0.0
29.3318,250,1228.0619,0.0
28.1369,250,1238.9706,0.0
23.1518,250,1249.883,0.0
24.4565,250,1261.0818,0.0
27.3575,250,1272.1143,0.0
29.2654,250,1283.0652,0.0
23.3122,250,1294.1782,0.0
30.7929,250,1305.0386,0.0
28.8462,250,1316.0636,0.0
31.2069,250,1327.1187,1.0
26.4783,250,1338.7009,0.0
30.1561,250,1350.4718,1.0
31.0523,250,1361.4636,1.0
27.4748,250,1372.633,0.0
29.4617,250,1383.8456,1.0
30.9389,250,1394.83,0.0
29.5311,250,1405.8806,2.0
26.0425,250,1417.1946,0.0
24.2034,250,1428.2761,0.0
27.2318,250,1439.4563,0.0
30.6521,250,1447.9225,0.0
26.9852,250,1459.0215,0.0
28.2608,250,1470.2597,0.0
28.3086,250,1481.4835,0.0
32.2232,250,1492.4752,2.0
34.4551,250,1503.773,2.0
29.1116,250,1514.8232,1.0
31.9085,250,1525.837,1.0
27.7451,250,1537.2483,0.0
27.7792,250,1548.2843,1.0
30.4819,250,1559.5807,1.0
29.4976,250,1570.9421,0.0
31.4357,250,1582.2011,0.0
27.4191,250,1593.442,0.0
29.5419,250,1604.6654,0.0
29.4169,250,1617.0263,1.0
31.6239,250,1627.9093,1.0
33.9762,250,1638.9516,3.0
27.1339,250,1650.2122,1.0
34.6619,250,1662.5884,3.0
31.2748,250,1673.4705,0.0
30.7258,250,1682.2561,0.0
30.4861,250,1693.3732,1.0
