#{"t_start": 1555726408.018975, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
20.5613,250,9.2245,0.0
20.5679,250,17.3371,0.0
23.6966,250,25.5143,0.0
24.6926,250,33.6312,0.0
26.6151,250,41.7911,1.0
24.0214,250,49.9484,0.0
24.1032,250,58.1367,0.0
25.2897,250,66.2916,0.0
19.375,250,74.4826,1.0
21.5793,250,82.6547,0.0
18.6163,250,90.9689,0.0
20.6814,250,99.1624,0.0
24.7652,250,107.3252,0.0
19.3698,250,115.4745,0.0
22.0522,250,123.5952,0.0
18.7861,250,131.7529,0.0
20.1695,250,139.9433,0.0
16.6134,250,148.157,0.0
20.327,250,156.3998,0.0
27.2615,250,164.6236,1.0
23.0102,250,172.8706,0.0
26.2207,250,178.894,0.0
23.9606,250,187.1089,0.0
16.6238,250,195.2867,0.0
15.8759,250,203.49,0.0
18.582,250,211.6688,0.0
19.6083,250,219.8432,0.0
21.0283,250,228.0701,0.0
27.5958,250,236.244,1.0
21.5491,250,244.4731,1.0
20.6668,250,252.7058,0.0
23.8217,250,261.1775,0.0
25.0254,250,269.701,0.0
20.0864,250,278.0355,0.0
27.9233,250,286.2626,0.0
21.4101,250,294.47,1.0
23.0384,250,303.2896,0.0
19.1413,250,311.6889,0.0
21.0063,250,319.9207,0.0
28.1401,250,328.1329,0.0
30.5857,250,336.5228,1.0
25.2915,250,344.991,0.0
28.2983,250,351.2137,1.0
25.8679,250,359.6929,0.0
23.7602,250,368.2181,0.0
23.8696,250,376.7246,0.0
27.7609,250,385.2474,1.0
25.0781,250,393.7529,0.0
31.5896,250,402.2365,2.0
23.4559,250,410.6912,0.0
28.8328,250,419.1643,1.0
22.6488,250,427.6495,0.0
26.4479,250,436.149,0.0
25.1456,250,444.6518,0.0
24.7522,250,453.1335,1.0
25.7239,250,461.6693,0.0
26.75,250,470.1765,1.0
30.4214,250,478.7209,2.0
31.3594,250,487.2483,2.0
22.4916,250,495.7515,0.0
23.7249,250,504.2364,0.0
25.0372,250,512.8879,0.0
26.636,250,521.5526,0.0
25.8969,250,527.5896,0.0
26.4908,250,535.8802,0.0
36.3809,250,544.1414,4.0
25.2959,250,553.0099,0.0
27.0993,250,562.6627,0.0
26.098,250,572.4482,0.0
29.9636,250,581.9671,0.0
27.9209,250,591.5371,1.0
27.2216,250,601.1,0.0
25.5056,250,610.6733,0.0
22.4622,250,620.3284,0.0
29.5598,250,630.0486,1.0
26.4114,250,639.662,0.0
32.9281,250,649.2183,1.0
26.4358,250,659.8572,0.0
28.9967,250,671.1486,2.0
26.2807,250,682.0634,1.0
29.4989,250,693.128,1.0
27.5675,250,704.7196,0.0
27.6535,250,716.7264,0.0
27.9427,250,728.8545,0.0
24.2043,250,739.61,0.0
29.3315,250,747.9928,1.0
26.9192,250,758.6131,0.0
21.9284,250,769.2456,0.0
29.8494,250,780.0274,0.0
26.8288,250,791.0113,0.0
27.6656,250,801.8894,0.0
28.6584,250,812.7373,0.0
30.9897,250,823.5347,1.0
26.913,250,834.5155,0.0
24.5187,250,845.3786,0.0
25.6989,250,856.1919,0.0
31.9195,250,867.0557,2.0
28.52,250,878.2409,1.0
33.1016,250,889.1225,2.0
29.2879,250,900.0495,0.0
26.7869,250,911.1139,0.0
28.6967,250,922.2089,1.0
35.5515,250,933.1957,2.0
29.0578,250,944.3187,1.0
31.64,250,954.9934,1.0
27.2209,250,966.039,1.0
28.2248,250,974.5012,0.0
31.3451,250,985.3228,0.0
31.0431,250,996.2864,2.0
24.9482,250,1007.1895,0.0
27.4488,250,1018.2921,0.0
28.2508,250,1030.5772,0.0
32.6932,250,1041.7092,2.0
28.5772,250,1052.6672,0.0
27.377,250,1063.547,0.0
28.4399,250,1074.7484,0.0
33.3839,250,1085.766,3.0
28.7507,250,1096.8128,0.0
28.6186,250,1107.9571,1.0
25.0582,250,1119.0412,0.0
28.8821,250,1129.8889,0.0
30.0674,250,1141.1467,0.0
25.9975,250,1152.2447,0.0
30.6116,250,1163.1644,1.0
27.9004,250,1174.4513,0.0
27.0081,250,1185.6815,0.0
27.9493,250,1196.9806,1.0
29.8424,250,1205.6924,1.0
25.7121,250,1216.6063,0.0
34.1204,250,1227.7136,2.0
30.5713,250,1238.621,1.0
