#{"t_start": 1555726407.8244798, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
18.225,250,9.4191,0.0
21.5148,250,17.5318,0.0
17.8562,250,25.7087,0.0
27.1516,250,33.8259,1.0
20.6928,250,41.9859,0.0
21.8176,250,50.1428,0.0
23.8785,250,58.3311,0.0
24.0241,250,66.4865,0.0
24.6001,250,74.6773,1.0
15.7881,250,82.8491,0.0
20.401,250,91.1635,0.0
20.6389,250,99.3568,0.0
21.0306,250,107.5216,0.0
21.72,250,115.6694,0.0
16.2371,250,123.7897,0.0
20.6037,250,131.9482,0.0
20.0053,250,140.1373,0.0
26.9798,250,148.3518,1.0
24.3178,250,156.5942,0.0
15.7472,250,164.818,0.0
17.3147,250,173.0651,0.0
17.7875,250,179.0884,0.0
26.2194,250,187.3033,1.0
19.9842,250,195.4807,0.0
20.6886,250,203.6817,0.0
25.5247,250,211.8634,0.0
19.5782,250,220.0375,0.0
21.3589,250,228.265,0.0
19.9184,250,236.4383,0.0
25.1026,250,244.6687,1.0
27.1062,250,252.9001,2.0
18.6497,250,261.3719,0.0
27.5949,250,269.893,0.0
20.4659,250,278.2292,0.0
28.0213,250,286.4541,1.0
29.6781,250,294.6663,3.0
20.7018,250,303.4844,1.0
23.6007,250,311.8824,0.0
13.6674,250,320.1147,0.0
14.735,250,328.3273,0.0
26.6314,250,336.7178,1.0
25.0573,250,345.1857,1.0
23.2156,250,351.4084,0.0
27.6595,250,359.8873,1.0
22.7703,250,368.4125,1.0
19.2453,250,376.919,0.0
22.1191,250,385.4412,0.0
26.9344,250,393.9469,0.0
24.5737,250,402.4299,0.0
18.8688,250,410.8856,0.0
23.5487,250,419.3615,0.0
34.4836,250,427.8439,2.0
26.026,250,436.3434,1.0
24.2685,250,444.8463,0.0
26.0615,250,453.3279,0.0
25.7843,250,461.8633,0.0
27.6776,250,470.3717,0.0
27.7175,250,478.9148,0.0
33.0213,250,487.4427,2.0
24.2504,250,495.9459,0.0
26.1033,250,504.4307,0.0
37.4091,250,513.0823,3.0
23.158,250,521.7474,0.0
27.6479,250,527.7844,1.0
26.9861,250,536.0749,0.0
25.5013,250,544.3358,0.0
31.0327,250,553.2046,1.0
19.5425,250,562.8574,0.0
