#{"t_start": 1555726407.592253, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
26.6345,250,1949.9446,0.0
26.055,250,1961.1836,0.0
28.9538,250,1972.9609,0.0
34.8617,250,1985.0186,2.0
28.2223,250,1996.4802,0.0
30.4298,250,2007.9231,0.0
33.0923,250,2019.0676,2.0
36.0447,250,2030.2905,3.0
33.0947,250,2041.4717,1.0
31.9448,250,2052.6761,2.0
34.795,250,2064.063,2.0
35.68,250,2075.7601,2.0
30.8454,250,2087.0624,1.0
28.6532,250,2098.5321,1.0
26.2978,250,2109.9968,0.0
32.2537,250,2121.2546,1.0
30.2361,250,2132.6892,1.0
32.153,250,2144.0881,1.0
30.2479,250,2155.397,0.0
28.2157,250,2164.1629,0.0
28.6375,250,2175.425,0.0
31.3287,250,2186.6159,0.0
38.7348,250,2198.1007,3.0
31.0725,250,2209.3746,1.0
30.6682,250,2220.6644,1.0
30.8416,250,2231.7809,1.0
34.0564,250,2243.1496,2.0
30.3698,250,2254.4928,1.0
35.1897,250,2265.7685,1.0
33.8689,250,2277.0808,1.0
30.7715,250,2288.9562,0.0
27.5439,250,2300.9848,0.0
32.3521,250,2312.3159,1.0
30.0545,250,2323.6572,0.0
29.2672,250,2334.9524,0.0
28.5433,250,2346.3206,1.0
31.2984,250,2357.6864,2.0
26.6142,250,2369.1991,0.0
34.394,250,2380.8132,2.0
31.3393,250,2392.1472,1.0
32.9888,250,2401.0434,0.0
34.3638,250,2412.238,2.0
25.1923,250,2423.5102,0.0
29.7043,250,2434.8628,1.0
34.7664,250,2446.2264,2.0
26.3594,250,2457.7983,0.0
34.2465,250,2469.2139,0.0
32.1453,250,2480.4906,1.0
31.6502,250,2492.0163,0.0
29.1436,250,2503.3761,0.0
30.4945,250,2514.7087,0.0
31.6273,250,2526.1468,1.0
30.7635,250,2537.4729,0.0
30.8693,250,2548.8694,0.0
32.6707,250,2560.1832,1.0
25.7219,250,2571.4576,0.0
30.6241,250,2582.6937,0.0
38.4591,250,2594.024,3.0
30.861,250,2605.9788,0.0
31.6598,250,2617.8036,0.0
32.4783,250,2629.1444,0.0
31.4985,250,2637.8775,1.0
30.9355,250,2649.0986,0.0
30.8101,250,2660.3458,0.0
29.9685,250,2671.7459,0.0
33.2595,250,2683.1515,1.0
29.4249,250,2694.4906,0.0
35.0702,250,2705.8757,1.0
31.1007,250,2717.1413,0.0
34.9683,250,2728.3403,2.0
30.4551,250,2739.7642,0.0
30.7476,250,2750.9825,0.0
31.7445,250,2762.2376,1.0
31.9133,250,2773.5998,1.0
31.9491,250,2784.9825,1.0
30.2128,250,2796.442,0.0
32.9629,250,2807.8825,1.0
30.1357,250,2819.2772,0.0
31.9327,250,2830.6391,0.0
30.6777,250,2841.9786,0.0
28.944,250,2853.3399,0.0
32.0326,250,2864.8057,0.0
33.607,250,2876.2647,1.0
34.3614,250,2885.2418,2.0
29.5802,250,2896.5521,0.0
30.1259,250,2907.8623,1.0
29.6889,250,2919.4545,0.0
30.7963,250,2931.7762,0.0
31.4334,250,2943.4224,0.0
35.3413,250,2954.8597,3.0
28.9489,250,2966.0745,0.0
31.007,250,2977.9401,1.0
27.7157,250,2989.3064,0.0
28.3375,250,3000.7328,0.0
26.4547,250,3012.2153,0.0
26.9967,250,3023.7277,0.0
28.0824,250,3035.222,0.0
27.3696,250,3046.751,0.0
34.7444,250,3058.1863,1.0
29.6927,250,3069.705,1.0
31.2627,250,3081.2649,0.0
28.7688,250,3092.9219,0.0
32.0083,250,3104.5042,0.0
29.8275,250,3116.1376,0.0
28.7973,250,3125.1847,0.0
29.796,250,3136.6661,0.0
31.3931,250,3148.0686,1.0
30.0797,250,3159.4075,0.0
31.0359,250,3170.8393,1.0
36.3875,250,3182.6168,2.0
32.0712,250,3193.9773,0.0
36.5151,250,3205.4042,2.0
30.6241,250,3216.6971,0.0
31.7081,250,3228.1132,1.0
32.8132,250,3240.3227,1.0
31.1677,250,3252.188,1.0
36.0652,250,3263.6869,1.0
30.6937,250,3275.0717,0.0
32.4949,250,3286.5854,0.0
30.1192,250,3298.134,0.0
37.676,250,3309.5193,4.0
36.2151,250,3321.0614,1.0
30.1057,250,3332.629,0.0
27.5689,250,3344.3079,0.0
30.1665,250,3355.7542,1.0
30.3832,250,3364.73,0.0
32.1524,250,3376.1152,0.0
31.4841,250,3387.4993,0.0
32.648,250,3398.9672,2.0
28.7286,250,3410.2507,0.0
31.371,250,3421.7076,0.0
31.2454,250,3434.5169,1.0
32.1416,250,3445.7891,1.0
34.3992,250,3457.1297,1.0
30.5281,250,3468.43,0.0
31.342,250,3479.8864,2.0
34.5994,250,3491.3793,2.0
32.5812,250,3502.7604,1.0
34.3219,250,3514.2249,1.0
35.0291,250,3525.8204,2.0
31.4596,250,3537.4416,0.0
31.9207,250,3548.9066,1.0
28.4921,250,3561.7663,0.0
30.279,250,3572.8982,1.0
34.2152,250,3584.612,2.0
32.2657,250,3596.1175,0.0
32.6559,250,3607.4065,0.0
35.7261,250,3616.4291,2.0
36.199,250,3627.7773,1.0
35.6681,250,3639.1762,1.0
32.4047,250,3650.5674,1.0
31.8032,250,3662.1331,0.0
28.5651,250,3673.4784,0.0
32.5715,250,3684.7303,1.0
31.3866,250,3696.0978,0.0
33.8176,250,3707.5717,1.0
28.6812,250,3719.1721,0.0
28.8524,250,3730.6189,0.0
34.8384,250,3742.0992,2.0
29.5629,250,3753.6041,0.0
35.6774,250,3765.2771,2.0
35.2316,250,3777.0522,3.0
35.6913,250,3788.8916,2.0
29.1809,250,3800.4164,0.0
33.9526,250,3811.8888,1.0
34.7729,250,3823.4318,1.0
28.5578,250,3835.1151,0.0
29.047,250,3846.6104,0.0
30.0738,250,3855.7479,0.0
28.2626,250,3867.4975,0.0
32.7076,250,3880.5218,1.0
31.5796,250,3892.0708,1.0
28.399,250,3903.867,0.0
31.7056,250,3915.4175,1.0
33.7252,250,3927.015,0.0
28.4739,250,3938.768,0.0
31.4077,250,3950.1363,1.0
31.2012,250,3961.6113,0.0
30.8625,250,3973.1524,0.0
32.4392,250,3984.7266,0.0
33.1432,250,3996.3167,2.0
29.926,250,4007.8326,0.0
32.9136,250,4019.3069,1.0
36.7145,250,4030.8745,2.0
31.6124,250,4042.3541,1.0
30.3278,250,4053.9575,0.0
29.2056,250,4065.576,0.0
33.0973,250,4077.0484,1.0
37.448,250,4088.8166,2.0
32.515,250,4097.956,1.0
28.5216,250,4109.5612,1.0
36.6491,250,4121.0667,2.0
31.8949,250,4132.5542,2.0
33.1446,250,4144.1253,0.0
34.4671,250,4155.7354,1.0
33.3176,250,4167.1952,1.0
33.8648,250,4178.9711,0.0
29.4007,250,4191.5647,0.0
32.4526,250,4203.0638,0.0
34.1949,250,4214.6768,2.0
