#{"t_start": 1555726407.430709, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
23.0615,250,9.8124,0.0
20.4569,250,17.9249,0.0
25.9293,250,26.1027,1.0
24.1607,250,34.2196,1.0
25.7365,250,42.3796,1.0
25.2909,250,50.5364,0.0
24.4768,250,58.7254,0.0
21.601,250,66.8808,1.0
25.6641,250,75.07,1.0
31.3403,250,83.2428,1.0
26.2329,250,91.557,1.0
24.4789,250,99.7509,1.0
23.8733,250,107.9155,0.0
20.6195,250,116.0625,0.0
23.2377,250,124.1836,0.0
22.6101,250,132.3414,0.0
21.8206,250,140.531,0.0
21.7984,250,148.7449,1.0
16.3467,250,156.9883,0.0
22.3859,250,165.2115,0.0
19.7899,250,173.4587,0.0
23.6407,250,179.4821,0.0
19.709,250,187.6969,0.0
24.9876,250,195.8748,0.0
18.5022,250,204.0752,0.0
26.1586,250,212.2567,0.0
14.8073,250,220.4317,0.0
20.6529,250,228.659,0.0
28.2992,250,236.8298,0.0
27.4073,250,245.0626,1.0
17.1307,250,253.2942,0.0
22.1763,250,261.7658,0.0
16.9885,250,270.2891,0.0
25.4636,250,278.6219,0.0
20.6283,250,286.8478,0.0
13.3903,250,295.0583,0.0
23.7023,250,303.8788,1.0
14.07,250,312.2771,0.0
21.0996,250,320.5083,1.0
23.5592,250,328.7209,1.0
26.4898,250,337.1119,0.0
26.7152,250,345.5789,1.0
22.7197,250,351.8016,0.0
29.9339,250,360.2814,2.0
20.9238,250,368.8065,0.0
20.0808,250,377.3126,0.0
17.3275,250,385.8354,0.0
27.0858,250,394.3412,0.0
26.1991,250,402.8245,1.0
22.8462,250,411.2797,0.0
22.4801,250,419.7523,0.0
22.086,250,428.2376,0.0
27.5864,250,436.7371,0.0
26.1892,250,445.2389,0.0
20.8355,250,453.7209,0.0
29.1093,250,462.2576,1.0
27.3562,250,470.765,0.0
27.8984,250,479.3089,0.0
28.4323,250,487.8367,0.0
33.9971,250,496.3394,3.0
23.4204,250,504.8248,0.0
27.8125,250,513.4764,1.0
30.1199,250,522.1406,2.0
28.8447,250,528.1783,1.0
31.5714,250,536.4681,2.0
21.2841,250,544.73,0.0
24.4,250,553.5979,0.0
29.4778,250,563.251,0.0
23.2251,250,573.0346,0.0
26.8405,250,582.5556,0.0
27.7773,250,592.1254,1.0
27.3585,250,601.6891,0.0
28.3167,250,611.2616,0.0
24.0962,250,620.9168,0.0
26.1961,250,630.6365,0.0
27.7923,250,640.2512,1.0
28.2083,250,649.8061,0.0
29.4237,250,660.4464,1.0
26.4167,250,671.7359,0.0
29.6089,250,682.6521,0.0
28.0468,250,693.7164,0.0
25.803,250,705.3078,0.0
28.3659,250,717.3139,0.0
27.4644,250,729.4429,1.0
29.383,250,740.198,0.0
30.0725,250,748.581,0.0
24.4275,250,759.2016,0.0
29.2902,250,769.8333,2.0
30.5675,250,780.6158,0.0
24.2306,250,791.5905,0.0
29.9997,250,802.4795,0.0
28.5344,250,813.3256,0.0
27.4555,250,824.1227,0.0
